report_id,reporter_role,setting,age_band,category_label,urgency_label,free_text
1,Parent/Carer,Off-site Activity,Under 12,Bullying / peer conflict,Low,"During tonight's drill session, I noticed Cadet Smith seemed a bit left out when the section was choosing partners for the map reading exercise. A couple of the other cadets made comments about him being 'rubbish at navigation' and he ended up working alone."
2,Parent/Carer,Off-site Activity,14-16,Bullying / peer conflict,Low,Cadet Jones mentioned to me after parade that some of the older cadets in her section have been calling her 'baby cadet' and laughing when she gets drill movements wrong. She said it's been happening for about a week now.
3,Commanding Officer,Weekend Exercise,Under 12,Bullying / peer conflict,Low,"I observed two cadets, Williams and Thompson, having a disagreement over who would be section commander during the field exercise. Williams pushed Thompson lightly on the shoulder and told him to 'get lost'. Thompson walked away looking annoyed."
4,Commanding Officer,Weekend Exercise,16-18,Bullying / peer conflict,Low,Cadet Brown approached me before evening meal and said that Cadet Taylor keeps making jokes about her accent in front of the other cadets. She said it's starting to make her feel uncomfortable but it's not really serious.
5,Commanding Officer,Online/Remote,14-16,Bullying / peer conflict,Low,"During free time, I noticed Cadet Davies sitting by himself while his usual group of friends were playing cards together. When I asked if he wanted to join in, one of the cadets said 'Davies is being moody today' and the others giggled."
6,CFAV,Annual Camp,14-16,Bullying / peer conflict,Low,"During the drill practice, I noticed Cadet Smith making faces and mimicking Cadet Jones when he was trying to follow commands. A couple of other cadets were giggling at this. Cadet Jones didn't seem to notice but looked a bit flustered when he couldn't get the movements right."
7,Civilian Instructor,Off-site Activity,16-18,Bullying / peer conflict,Low,Cadet Williams told me that some of the older cadets keep calling her 'short stuff' and making jokes about her height. She said it's not really mean but it's getting a bit annoying. She mentioned it happens mostly during break times.
8,CFAV,Annual Camp,14-16,Bullying / peer conflict,Low,"I observed Cadet Thompson deliberately moving away from Cadet Clarke during team activities today. When I asked Thompson about it later, he said Clarke had been copying his answers during the navigation exercise and it wasn't fair."
9,Civilian Instructor,Annual Camp,12-14,Bullying / peer conflict,Low,"Two cadets, Miller and Davies, had a brief argument about who should carry the flag during parade practice. Miller said Davies always gets picked for everything and it's not fair. They sorted it out themselves but there was some tension between them for the rest of the session."
10,Civilian Instructor,Weekend Exercise,Under 12,Bullying / peer conflict,Low,Cadet Roberts mentioned that her friend from another section has been ignoring her messages on social media since last week's camp. She said they had a small disagreement about room arrangements but doesn't understand why her friend is still upset.
11,Cadet,Parade Night,Under 12,Bullying / peer conflict,Low,Cadet Smith mentioned that some of the older cadets have been calling him names during drill practice. He said they've made comments about his height a couple of times this week. He seemed a bit embarrassed when telling me but said it wasn't a big deal.
12,Commanding Officer,Annual Camp,14-16,Bullying / peer conflict,Low,"Noticed Cadet Jones sitting alone at lunch break today. When I asked if everything was okay, she said that her usual friend group had been leaving her out of conversations lately. She mentioned feeling a bit left out but said she was managing fine."
13,Commanding Officer,Off-site Activity,14-16,Bullying / peer conflict,Low,Cadet Williams approached me after parade to say that Cadet Brown had been making jokes about his accent in front of others. He said it happened twice this month and made him feel uncomfortable. He wasn't sure if he should say anything about it.
14,Commanding Officer,Parade Night,Under 12,Bullying / peer conflict,Low,"During fieldcraft training, I overheard Cadet Davis telling another cadet that some of the lads had been teasing him about his new glasses. He said they'd been calling him 'four eyes' for the past few days. He laughed it off but looked a bit fed up."
15,Parent/Carer,Off-site Activity,12-14,Bullying / peer conflict,Low,Cadet Thompson mentioned that she'd had a small disagreement with her section partner about sharing equipment. She said the other cadet had been a bit snappy with her recently and they weren't getting along as well as usual.
16,Commanding Officer,Weekend Exercise,14-16,Bullying / peer conflict,Low,During tonight's drill session I noticed that Cadet Johnson seemed a bit left out when the section was choosing partners for the navigation exercise. A couple of the other cadets made comments about him being 'slow' but it appeared to be more teasing than anything serious.
17,Cadet,Parade Night,12-14,Bullying / peer conflict,Low,Cadet Williams mentioned to me after parade that some of the older cadets in her section keep calling her 'newbie' and laughing when she gets drill movements wrong. She said it's been happening for the past two weeks but seemed more frustrated than upset about it.
18,Parent/Carer,Online/Remote,16-18,Bullying / peer conflict,Low,I observed Cadet Thompson rolling his eyes and making quiet comments to his mate whenever Cadet Harris answered questions during the first aid lesson. Harris didn't seem to notice but it happened several times throughout the session.
19,Cadet,Parade Night,14-16,Bullying / peer conflict,Low,Cadet Price approached me after the social evening to say that two cadets from another section had been making jokes about his accent during break time. He said they weren't being mean exactly but it was starting to annoy him.
20,Cadet,Weekend Exercise,16-18,Bullying / peer conflict,Low,"During fieldcraft training I noticed that when Cadet Matthews made a mistake with her camouflage, a couple of the lads in her patrol started giggling and whispering to each other. She looked a bit embarrassed but carried on with the exercise."
21,Parent/Carer,Annual Camp,Under 12,Bullying / peer conflict,Low,"During drill practice today, I noticed Cadet Smith rolling his eyes and making quiet comments when Cadet Jones was giving commands. A couple of other cadets seemed to find it amusing. Cadet Jones didn't appear to notice but looked a bit flustered during the exercise."
22,Cadet,Parade Night,14-16,Bullying / peer conflict,Low,Cadet Williams mentioned that some of the older cadets in his section have been calling him 'baby face' and laughing about his voice breaking. He said it happens most weeks but seemed more annoyed than upset about it.
23,Parent/Carer,Weekend Exercise,14-16,Bullying / peer conflict,Low,Observed Cadet Thompson deliberately walking away when Cadet Brown tried to join the group during break time. Cadet Brown stood alone for a few minutes before joining a different group. This is the second time I've seen similar behaviour.
24,Civilian Instructor,Online/Remote,14-16,Bullying / peer conflict,Low,Cadet Davies told me that Cadet Miller keeps making jokes about his trainers being 'cheap knock-offs' in front of others. He said it's been going on for about three weeks and it's getting on his nerves.
25,Cadet,Off-site Activity,16-18,Bullying / peer conflict,Low,"During team activities, Cadet Green consistently chooses teams that exclude Cadet Taylor. When Cadet Taylor was eventually picked for a team, Cadet Green made a comment about 'having to carry dead weight' which caused some snickering from others."
26,Parent/Carer,Off-site Activity,14-16,Bullying / peer conflict,Medium,Cadet Smith approached me after parade and said that three older cadets have been calling him names and deliberately excluding him from group activities for the past month. He looked upset and said it's been happening every week during fieldcraft training. He specifically mentioned they call him 'useless' and won't let him join their section when we split into teams.
27,Cadet,Weekend Exercise,16-18,Bullying / peer conflict,Medium,"During the break, I noticed Cadet Jones sitting alone looking distressed. When I asked if everything was okay, she told me that Cadet Williams has been sending her nasty messages on social media calling her fat and stupid. She showed me screenshots on her phone from the past two weeks with multiple cruel comments about her appearance and abilities."
28,Parent/Carer,Online/Remote,Under 12,Bullying / peer conflict,Medium,Cadet Thompson's mum contacted me saying her son doesn't want to come to cadets anymore because some of the other cadets have been picking on him. She said he's been coming home upset for three weeks now and yesterday he was in tears saying they push him around and hide his kit. She's worried about his confidence as he used to love coming.
29,CFAV,Parade Night,14-16,Bullying / peer conflict,Medium,"I observed Cadet Davies deliberately tripping Cadet Clark during drill practice. When Cadet Clark got up, Davies laughed and made comments about him being clumsy. Other cadets nearby were also laughing. Cadet Clark looked embarrassed and I noticed this is the third time I've seen similar behaviour from Davies towards Clark over recent weeks."
30,CFAV,Weekend Exercise,Under 12,Bullying / peer conflict,Medium,Cadet Wilson disclosed that a group of cadets have created a group chat without her and are sharing unkind comments and photos making fun of her. She said it started after she was promoted to Lance Corporal last month and has been getting worse each week. She seemed quite distressed and said she's been losing sleep over it.
31,Parent/Carer,Annual Camp,12-14,Bullying / peer conflict,Medium,Cadet Smith approached me after parade to report that three older cadets have been deliberately excluding her from activities for the past month. She said they whisper about her when she walks past and have started hiding her kit during field exercises. Smith appeared upset and mentioned this has been happening consistently since she joined the unit.
